01-19 06:33:42.125   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=147 index=15, pd=-1.09, defocus(um)=-7, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.178   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=139 index=16, pd=-0.87, defocus(um)=-5, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.227   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=139 index=17, pd=-0.29, defocus(um)=-1, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.280   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=139 index=18, pd=-0.06, defocus(um)=0, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.329   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=131 index=19, pd=0.08, defocus(um)=0, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.386   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=131 index=20, pd=0.55, defocus(um)=3, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.430   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=131 index=21, pd=0.97, defocus(um)=6, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.484   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=123 index=22, pd=1.24, defocus(um)=8, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.534   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=123 index=23, pd=1.97, defocus(um)=12, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.583   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=123 index=24, pd=2.23, defocus(um)=14, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.636   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=115 index=25, pd=2.38, defocus(um)=15, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.685   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=115 index=26, pd=3.18, defocus(um)=20, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.748   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=115 index=27, pd=3.46, defocus(um)=22, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.787   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=107 index=28, pd=3.62, defocus(um)=24, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.842   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=107 index=29, pd=3.98, defocus(um)=26, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:42.891   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=107 index=30, pd=4.34, defocus(um)=28, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
